id	title	description	link	image_link	availability	price	brand	condition	product_type	shipping_label	return_policy_label
RPH-1-SEMPERVIVUM-TECTOR	Sempervivum tectorum Plant	Sempervivum tectorum is a hardy rosette succulent with neat blue-green leaves tipped in maroon. It stays compact, multiplies through offsets, and works well in sunny containers or outdoor succulent bowls.	https://rosaryplanthouse.com/plant/1-sempervivum-tectorum/	https://rosaryplanthouse.com/sale_plants/1.jpg	in_stock	59.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-2-BERGERANTHUS-SPECI	Bergeranthus species Plant	This Bergeranthus-type succulent forms tight clusters of narrow leaves and bright yellow daisy-like blooms. It is best grown in a sunny, sharply draining pot where the roots never stay soggy.	https://rosaryplanthouse.com/plant/2-bergeranthus-species/	https://rosaryplanthouse.com/sale_plants/2.jpg	in_stock	49.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-4-HAWORTHIA-COOPERI-	Haworthia cooperi variegated Plant	Haworthia cooperi variegated is a decorative potted succulent suited to bright light, fast-draining soil, and careful watering.	https://rosaryplanthouse.com/plant/4-haworthia-cooperi-variegated/	https://rosaryplanthouse.com/sale_plants/4.jpg	in_stock	49.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-5-PEANUT-CACTUS-5	Peanut Cactus Plant	Peanut cactus is a small clumping cactus with finger-like stems and bold orange-red flowers. It stays compact in pots and is a cheerful choice for bright balconies and cactus collections.	https://rosaryplanthouse.com/plant/5-peanut-cactus/	https://rosaryplanthouse.com/sale_plants/5.jpg	in_stock	69.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-6-LAKSHMI-KAMAL-SEMP	Lakshmi Kamal Sempervivum Plant	Lakshmi Kamal Sempervivum is a decorative potted succulent suited to bright light, fast-draining soil, and careful watering.	https://rosaryplanthouse.com/plant/6-lakshmi-kamal-sempervivum/	https://rosaryplanthouse.com/sale_plants/6.jpg	in_stock	79.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-7-ECHEVERIA-WHITE-LO	Echeveria White Lotus Plant	Echeveria White Lotus is a decorative potted succulent suited to bright light, fast-draining soil, and careful watering.	https://rosaryplanthouse.com/plant/7-echeveria-white-lotus/	https://rosaryplanthouse.com/sale_plants/7.jpg	in_stock	89.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-8-JADE-PLANT-8	Jade Plant Plant	Jade plant is a classic branching succulent with thick glossy leaves and a sturdy upright habit. It is easy to maintain in bright homes and balconies as long as the roots are not kept wet.	https://rosaryplanthouse.com/plant/8-jade-plant/	https://rosaryplanthouse.com/sale_plants/8.jpg	in_stock	59.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-10-LIFESAVER-CACTUS-1	Lifesaver Cactus Plant	Huernia zebrina is a quirky stapeliad succulent with ribbed stems and the famous lifebuoy-shaped flower. It likes warmth, bright light, and quick drainage but dislikes staying wet for long.	https://rosaryplanthouse.com/plant/10-lifesaver-cactus/	https://rosaryplanthouse.com/sale_plants/10.jpg	in_stock	69.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-12-CALLISIA-REPENS-PI	Callisia repens 'Pink Lady' Plant	Callisia repens 'Pink Lady' is a soft trailing foliage plant with blush-pink tones and tiny layered leaves. It brightens shelves, hanging pots, and mixed planters when kept in bright filtered light.	https://rosaryplanthouse.com/plant/12-callisia-repens-pink-lady/	https://rosaryplanthouse.com/sale_plants/12.jpg	in_stock	59.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-13-FINGER-JADE-13	Finger Jade Plant	Finger Jade is a playful jade cultivar with tubular finger-like leaves and an easy branching habit. It handles bright indoor spots and sunny balconies well when the mix drains quickly.	https://rosaryplanthouse.com/plant/13-finger-jade/	https://rosaryplanthouse.com/sale_plants/13.jpg	in_stock	79.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-15-ECHEVERIA-15	Echeveria Plant	This blue-green echeveria forms a broad symmetrical rosette with delicate pink edging. It is a classic bright-light succulent for display pots, shelves, and protected balconies.	https://rosaryplanthouse.com/plant/15-echeveria/	https://rosaryplanthouse.com/sale_plants/15.jpg	in_stock	79.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-16-DONKEY-TAIL-16	Donkey Tail Plant	Donkey Tail is a trailing succulent with bead-like fleshy leaves packed along arching stems. It is best in hanging pots, bright balconies, and airy spots where the stems can stay dry and undisturbed.	https://rosaryplanthouse.com/plant/16-donkey-tail/	https://rosaryplanthouse.com/sale_plants/16.jpg	in_stock	69.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-17-HAWORTHIOPSIS-REIN	Haworthiopsis reinwardtii Plant	Haworthiopsis reinwardtii is an upright zebra-textured succulent with stacked pointed leaves and white raised tubercles. It stays compact and is well suited to bright indoor shelves and shaded balconies.	https://rosaryplanthouse.com/plant/17-haworthiopsis-reinwardtii/	https://rosaryplanthouse.com/sale_plants/17.jpg	in_stock	59.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-18-SINOCRASSULA-YUNNA	Sinocrassula yunnanensis Plant	Sinocrassula yunnanensis is a compact dark clustering succulent with sharply layered leaves and a miniature sculptural form. It prefers bright light, quick drainage, and careful watering through humid weather.	https://rosaryplanthouse.com/plant/18-sinocrassula-yunnanensis/	https://rosaryplanthouse.com/sale_plants/18.jpg	in_stock	69.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-19-CHOCOLATE-SOLDIER-	Chocolate Soldier Plant	Chocolate Soldier is a fuzzy-leaved kalanchoe with soft silver foliage and dark chocolate-brown edging. It is a bright-light succulent that does well in airy indoor spots and sunny sheltered balconies.	https://rosaryplanthouse.com/plant/19-chocolate-soldier/	https://rosaryplanthouse.com/sale_plants/19.jpg	in_stock	69.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-20-BUNNY-EAR-CACTUS-2	Bunny Ear Cactus Plant	Bunny Ear cactus is a playful opuntia with flat pads covered in orange glochids that look like soft dots from a distance. It likes strong light, quick drainage, and very restrained watering during humid weather.	https://rosaryplanthouse.com/plant/20-bunny-ear-cactus/	https://rosaryplanthouse.com/sale_plants/20.jpg	in_stock	49.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-21-BUNNY-EAR-CACTUS-Y	Bunny Ear Cactus Yellow Form	Bunny Ear Cactus Yellow Form is a potted cactus suited to bright, sharply drained growing conditions.	https://rosaryplanthouse.com/plant/21-bunny-ear-cactus-yellow-form/	https://rosaryplanthouse.com/sale_plants/21.jpg	in_stock	49.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-22-GRAPTOPETALUM-AMET	Graptopetalum amethystinum Plant	Graptopetalum amethystinum is a decorative potted succulent suited to bright light, fast-draining soil, and careful watering.	https://rosaryplanthouse.com/plant/22-graptopetalum-amethystinum/	https://rosaryplanthouse.com/sale_plants/22.jpg	in_stock	79.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-24-OPUNTIA-MONACANTHA	Opuntia monacantha Plant	Opuntia monacantha is a decorative potted cactus suited to strong light, sharp drainage, and dry watering intervals.	https://rosaryplanthouse.com/plant/24-opuntia-monacantha/	https://rosaryplanthouse.com/sale_plants/24.jpg	in_stock	49.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-25-CHOCOLATE-SOLDIER-	Chocolate Soldier	Chocolate Soldier is a decorative potted succulent suited to bright, well-drained growing conditions.	https://rosaryplanthouse.com/plant/25-chocolate-soldier/	https://rosaryplanthouse.com/sale_plants/25.jpg	in_stock	49.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-27-ECHEVERIA-AKMALIA	Echeveria Akmalia Plant	Echeveria Akmalia is a decorative potted succulent suited to bright light, fast-draining soil, and careful watering.	https://rosaryplanthouse.com/plant/27-echeveria-akmalia/	https://rosaryplanthouse.com/sale_plants/27.jpg	in_stock	59.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-28-MEXICAN-SNOWBALL-2	Mexican Snowball	Mexican Snowball is a decorative potted succulent suited to bright, well-drained growing conditions.	https://rosaryplanthouse.com/plant/28-mexican-snowball/	https://rosaryplanthouse.com/sale_plants/28.jpg	in_stock	69.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-29-TIGER-TOOTH-ALOE-2	Tiger Tooth Aloe	Tiger Tooth Aloe is a decorative potted succulent suited to bright, well-drained growing conditions.	https://rosaryplanthouse.com/plant/29-tiger-tooth-aloe/	https://rosaryplanthouse.com/sale_plants/29.jpg	in_stock	59.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-31-THIMBLE-CACTUS-31	Thimble Cactus	Thimble Cactus is a potted cactus suited to bright, sharply drained growing conditions.	https://rosaryplanthouse.com/plant/31-thimble-cactus/	https://rosaryplanthouse.com/sale_plants/31.jpg	in_stock	59.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-32-SHORT-LEAVED-ALOE-	Short-Leaved Aloe	Short-Leaved Aloe is a decorative potted succulent suited to bright, well-drained growing conditions.	https://rosaryplanthouse.com/plant/32-short-leaved-aloe/	https://rosaryplanthouse.com/sale_plants/32.jpg	in_stock	59.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-33-SPIDER-ALOE-33	Spider Aloe	Spider Aloe is a decorative potted succulent suited to bright, well-drained growing conditions.	https://rosaryplanthouse.com/plant/33-spider-aloe/	https://rosaryplanthouse.com/sale_plants/33.jpg	in_stock	49.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-34-TIGER-JAWS-34	Tiger Jaws	Tiger Jaws is a decorative potted succulent suited to bright, well-drained growing conditions.	https://rosaryplanthouse.com/plant/34-tiger-jaws/	https://rosaryplanthouse.com/sale_plants/34.jpg	in_stock	79.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-35-HAWORTHIA-RESENDEA	Haworthia resendeana Plant	Haworthia resendeana is a decorative potted succulent suited to bright light, fast-draining soil, and careful watering.	https://rosaryplanthouse.com/plant/35-haworthia-resendeana/	https://rosaryplanthouse.com/sale_plants/35.jpg	in_stock	49.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-38-GOLDEN-NEEDLE-STON	Golden Needle Stonecrop	Golden Needle Stonecrop is a decorative potted succulent suited to bright, well-drained growing conditions.	https://rosaryplanthouse.com/plant/38-golden-needle-stonecrop/	https://rosaryplanthouse.com/sale_plants/38.jpg	in_stock	59.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-44-CURLED-BLUE-ECHEVE	Curled Blue Echeveria	Curled Blue Echeveria is a decorative potted succulent suited to bright, well-drained growing conditions.	https://rosaryplanthouse.com/plant/44-curled-blue-echeveria/	https://rosaryplanthouse.com/sale_plants/44.jpg	in_stock	59.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-45-RED-FLORIST-KALANC	Red Florist Kalanchoe	Red Florist Kalanchoe is a decorative flowering plant suited to bright, airy pot culture.	https://rosaryplanthouse.com/plant/45-red-florist-kalanchoe/	https://rosaryplanthouse.com/sale_plants/45.jpg	in_stock	59.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-48-RIPPLE-PEPEROMIA-4	Ripple Peperomia	Ripple Peperomia is a decorative foliage plant suited to bright, airy indoor or balcony conditions.	https://rosaryplanthouse.com/plant/48-ripple-peperomia/	https://rosaryplanthouse.com/sale_plants/48.jpg	in_stock	69.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-49-PINK-HYDRANGEA-49	Pink Hydrangea	Pink Hydrangea is a decorative flowering plant suited to bright, airy pot culture.	https://rosaryplanthouse.com/plant/49-pink-hydrangea/	https://rosaryplanthouse.com/sale_plants/49.jpg	in_stock	39.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-50-VARIEGATED-WAX-IVY	Variegated Wax Ivy	Variegated Wax Ivy is a decorative foliage plant suited to bright, airy indoor or balcony conditions.	https://rosaryplanthouse.com/plant/50-variegated-wax-ivy/	https://rosaryplanthouse.com/sale_plants/50.jpg	in_stock	39.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-52-ELEPHANT-BUSH-52	Elephant Bush	Elephant Bush is a decorative potted succulent suited to bright, well-drained growing conditions.	https://rosaryplanthouse.com/plant/52-elephant-bush/	https://rosaryplanthouse.com/sale_plants/52.jpg	in_stock	59.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-53-ZEBRA-HAWORTHIA-53	Zebra Haworthia	Zebra Haworthia is a decorative potted succulent suited to bright, well-drained growing conditions.	https://rosaryplanthouse.com/plant/53-zebra-haworthia/	https://rosaryplanthouse.com/sale_plants/53.jpg	in_stock	59.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-54-COBWEB-HOUSELEEK-5	Cobweb Houseleek	Cobweb Houseleek is a decorative potted succulent suited to bright, well-drained growing conditions.	https://rosaryplanthouse.com/plant/54-cobweb-houseleek/	https://rosaryplanthouse.com/sale_plants/54.jpg	in_stock	59.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-55-CRASSULA-CAPITELLA	Crassula capitella Plant	Crassula capitella is a decorative potted succulent suited to bright light, fast-draining soil, and careful watering.	https://rosaryplanthouse.com/plant/55-crassula-capitella/	https://rosaryplanthouse.com/sale_plants/55.jpg	in_stock	69.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-56-OPUNTIOID-CACTUS-5	Opuntioid Cactus	Opuntioid Cactus is a potted cactus suited to bright, sharply drained growing conditions.	https://rosaryplanthouse.com/plant/56-opuntioid-cactus/	https://rosaryplanthouse.com/sale_plants/56.jpg	in_stock	49.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-57-PINK-SYNGONIUM-57	Pink Syngonium	Pink Syngonium is a decorative foliage plant suited to bright, airy indoor or balcony conditions.	https://rosaryplanthouse.com/plant/57-pink-syngonium/	https://rosaryplanthouse.com/sale_plants/57.jpg	in_stock	59.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-58-SPOTTED-GASTERIA-T	Scilla siberica Plant	Spotted Gasteria Type is a decorative potted succulent suited to bright, well-drained growing conditions.	https://rosaryplanthouse.com/plant/58-scilla-siberica/	https://rosaryplanthouse.com/sale_plants/58.jpg	in_stock	79.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-59-CHEIRIDOPSIS-DENTI	Cheiridopsis denticulata Plant	Cheiridopsis denticulata is a decorative potted succulent suited to bright light, fast-draining soil, and careful watering.	https://rosaryplanthouse.com/plant/59-cheiridopsis-denticulata/	https://rosaryplanthouse.com/sale_plants/59.jpg	in_stock	59.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
RPH-60-WATERMELON-PEPEROM	Watermelon Peperomia	Watermelon Peperomia is a decorative foliage plant suited to bright, airy indoor or balcony conditions.	https://rosaryplanthouse.com/plant/60-watermelon-peperomia/	https://rosaryplanthouse.com/sale_plants/60.jpg	in_stock	69.00 INR	Rosary Plant House	new	Live plants > Plants	Standard live plant shipping	Transit damage replacement or refund support
